# name, t50, t90, fluence, fluence_batse, flux_256, flux_batse_1024, pflx_best_fitting_model, pflx_best_model_redchisq
GRB100722096, 2.56, 7.165, 8.31E-06, 4.33E-06, 37.7222, 8.0862, pflx_comp, 1.17
GRB160106948, 27.137, 39.425, 4.53E-05, 2.18E-05, 17.4715, 8.0657, pflx_comp, 1.103
GRB120227725, 6.656, 17.408, 2.19E-05, 1.37E-05, 21.2037, 8.0612, pflx_comp, 1.121
GRB111017657, 3.52, 11.072, 2.07E-05, 9.23E-06, 17.9526, 8.0034, pflx_comp, 1.059
GRB101216721, 0.512, 1.917, 3.04E-06, 1.88E-06, 24.067, 7.9958, pflx_comp, 1.047
GRB130228212, 8.192, 15.421, 1.75E-05, 8.81E-06, 31.6474, 7.9622, pflx_comp, 1.014
GRB101126198, 9.216, 43.837, 3.10E-05, 1.63E-05, 22.4643, 7.9561, pflx_comp, 0.988
GRB141222691, 16.384, 34.049, 2.33E-05, 1.26E-05, 18.9603, 7.9489, pflx_comp, 1.19
GRB160118060, 14.592, 46.849, 2.98E-05, 1.73E-05, 20.3846, 7.8959, pflx_sbpl, 0.901
GRB140528837, 7.936, 13.568, 2.15E-05, 1.24E-05, 16.3704, 7.8902, pflx_comp, 1.035
GRB150220598, 117.762, 144.643, 2.41E-05, 1.40E-05, 18.0442, 7.8658, pflx_comp, 0.944
GRB140308710, 3.584, 12.032, 6.44E-06, 3.55E-06, 23.5052, 7.816, pflx_comp, 1.093
GRB100322045, 26.369, 37.121, 5.71E-05, 2.94E-05, 18.9801, 7.79, pflx_comp, 1.084
GRB150210935, 7.424, 31.294, 2.22E-05, 7.08E-06, 22.259, 7.7846, pflx_sbpl, 1.173
GRB120102095, 4.032, 28.416, 1.34E-05, 6.77E-06, 21.3101, 7.7364, pflx_band, 0.886
GRB110920546, 58.369, 160.771, 1.72E-04, 9.07E-05, 14.9469, 7.7282, pflx_comp, 1.172
GRB100804104, 3.456, 6.592, 1.07E-05, 7.00E-06, 17.8261, 7.6758, pflx_comp, 1.138
GRB110717319, 25.344, 90.369, 4.25E-05, 2.15E-05, 17.1289, 7.6133, pflx_comp, 1.008
GRB100816026, 0.896, 2.045, 3.65E-06, 2.50E-06, 17.7847, 7.6121, pflx_comp, 1.02
GRB150309958, 10.752, 52.481, 3.98E-05, 2.50E-05, 16.6263, 7.4896, pflx_comp, 0.979
GRB121029350, 2.816, 15.808, 7.81E-06, 5.12E-06, 16.0121, 7.4161, pflx_comp, 1.023
GRB130609902, 15.104, 191.491, 5.44E-05, 2.45E-05, 16.8054, 7.4021, pflx_comp, 0.982
GRB130720582, 104.45, 199.172, 1.00E-04, 5.11E-05, 26.7577, 7.3892, pflx_comp, 1.029
GRB120119170, 16.384, 55.297, 3.87E-05, 2.22E-05, 18.8531, 7.3861, pflx_comp, 1.094
GRB151030999, 16.128, 116.482, 5.00E-05, 2.60E-05, 19.5725, 7.3702, pflx_comp, 0.996
GRB110824009, 22.016, 76.607, 1.48E-05, 6.16E-06, 24.4595, 7.3143, pflx_comp, 1.087
GRB131122490, 8.704, 23.04, 2.83E-05, 1.49E-05, 18.2398, 7.3017, pflx_band, 1.144
GRB090227772, 0.192, 1.28, 7.86E-06, 1.86E-06, 59.4041, 7.3016, pflx_band, 0.998
GRB091120191, 20.992, 50.177, 2.85E-05, 1.61E-05, 25.0395, 7.2795, pflx_comp, 1
GRB121128212, 6.016, 17.344, 9.30E-06, 5.08E-06, 22.6939, 7.2276, pflx_comp, 0.847
GRB090228204, 0.128, 0.448, 6.19E-06, 1.76E-06, 54.5801, 7.2239, pflx_comp, 1.141
GRB111012811, 3.072, 7.936, 3.29E-06, 2.08E-06, 21.5569, 7.1293, pflx_comp, 1.202
GRB081110601, 4.608, 11.776, 5.41E-06, 3.06E-06, 20.5819, 7.1258, pflx_comp, 1.044
GRB111222619, 0.256, 0.32, 4.84E-06, 1.67E-06, 44.418, 7.0686, pflx_comp, 1.166
GRB080730786, 4.096, 13.312, 6.35E-06, 3.96E-06, 16.4352, 7.0569, pflx_comp, 1.05
GRB090820027, 4.48, 12.416, 1.54E-04, 9.11E-05, 129.479, 63.1749, pflx_band, 1.26
GRB130206482, 2.816, 11.264, 7.16E-06, 4.37E-06, 16.1238, 6.9779, pflx_comp, 0.921
GRB091208410, 7.168, 12.48, 6.19E-06, 3.17E-06, 27.9596, 6.9578, pflx_comp, 0.919
GRB081129161, 16.384, 62.657, 1.62E-05, 8.46E-06, 17.2369, 6.9139, pflx_sbpl, 0.986
GRB080925775, 9.216, 31.744, 1.85E-05, 1.02E-05, 15.8017, 6.9002, pflx_band, 1.004
GRB090922539, 4.864, 87.041, 1.10E-05, 6.42E-06, 16.177, 6.8765, pflx_comp, 1.191
GRB130327350, 18.688, 31.233, 5.20E-05, 2.75E-05, 14.5072, 6.8676, pflx_comp, 0.905
GRB160215773, 20.48, 141.314, 5.04E-05, 2.26E-05, 21.3248, 6.8134, pflx_band, 0.914
GRB110622158, 22.976, 70.401, 5.43E-05, 3.09E-05, 18.2528, 6.7859, pflx_comp, 1.085
GRB100116897, 5.504, 102.53, 3.34E-05, 1.28E-05, 16.4818, 6.7318, pflx_comp, 1.035
GRB130331566, 3.84, 13.824, 9.33E-06, 5.47E-06, 16.2967, 6.722, pflx_comp, 1.123
GRB100515467, 1.92, 10.624, 6.11E-06, 3.47E-06, 17.9767, 6.6805, pflx_comp, 1.162
GRB080817161, 16.064, 60.289, 5.33E-05, 2.56E-05, 14.6546, 6.6481, pflx_sbpl, 1.039
GRB130219775, 9.536, 96.129, 2.85E-05, 1.53E-05, 15.7607, 6.6459, pflx_comp, 1.089
GRB120222021, 0.512, 1.088, 1.73E-06, 1.15E-06, 22.09, 6.4656, pflx_comp, 0.999
GRB090102122, 9.728, 26.624, 2.79E-05, 1.30E-05, 17.201, 6.4545, pflx_comp, 0.992
GRB100511035, 9.408, 42.433, 3.00E-05, 1.27E-05, 21.7529, 6.4006, pflx_comp, 0.944
GRB130325203, 2.304, 6.912, 7.44E-06, 4.18E-06, 14.4035, 6.3935, pflx_comp, 1.058
GRB140506880, 6.016, 64.128, 6.59E-06, 3.22E-06, 21.5018, 6.3856, pflx_comp, 1.171
GRB150721242, 5.888, 18.432, 1.59E-05, 7.99E-06, 17.1963, 6.3817, pflx_comp, 1.101
GRB120526303, 24.448, 43.649, 1.16E-04, 4.66E-05, 19.7606, 6.3626, pflx_comp, 0.937
GRB140827763, 3.328, 20.992, 1.22E-05, 6.89E-06, 13.5715, 6.3544, pflx_comp, 1.105
GRB141220252, 3.133, 7.616, 5.34E-06, 3.27E-06, 14.1574, 6.2778, pflx_comp, 1.036
GRB080916009, 32, 62.977, 6.03E-05, 2.75E-05, 15.0917, 6.2767, pflx_comp, 0.861
GRB111009282, 6.144, 20.736, 1.20E-05, 8.92E-06, 17.9127, 6.263, pflx_comp, 1.231
GRB151212064, 2.816, 13.312, 8.41E-06, 4.45E-06, 13.1465, 6.2589, pflx_comp, 1.002
GRB090323002, 53.249, 135.17, 1.18E-04, 5.32E-05, 13.3802, 6.2378, pflx_comp, 0.934
GRB150127589, 41.473, 60.929, 5.78E-05, 3.22E-05, 21.7281, 6.2375, pflx_comp, 0.974
GRB100528075, 7.04, 22.464, 2.71E-05, 1.41E-05, 15.5713, 6.2238, pflx_comp, 0.912
GRB150422703, 16.384, 36.865, 2.99E-05, 1.64E-05, 19.7722, 6.2182, pflx_comp, 1.082
GRB130504314, 0.192, 0.384, 4.81E-06, 1.46E-06, 30.9353, 6.2159, pflx_comp, 0.997
GRB120308588, 2.048, 25.6, 6.72E-06, 3.24E-06, 18.3994, 6.2095, pflx_comp, 1.172
GRB090717034, 43.009, 65.537, 2.32E-05, 1.31E-05, 19.124, 6.1782, pflx_comp, 0.966
GRB160107931, 31.744, 113.922, 2.73E-05, 1.30E-05, 26.0657, 6.1737, pflx_comp, 1.003
GRB150514774, 2.304, 10.813, 4.74E-06, 2.53E-06, 20.8774, 6.1586, pflx_comp, 1.1
GRB101231067, 16.64, 23.613, 1.68E-05, 9.86E-06, 19.3786, 6.1515, pflx_comp, 0.976
GRB081122520, 13.568, 23.296, 7.54E-06, 4.62E-06, 17.9178, 6.0854, pflx_comp, 1.008
GRB110102788, 73.921, 253.956, 3.72E-05, 1.95E-05, 17.6267, 6.0686, pflx_comp, 1.023
GRB110709463, 15.36, 24.061, 6.91E-06, 4.01E-06, 17.8944, 6.0633, pflx_comp, 1.145
GRB110709642, 19.648, 43.201, 3.69E-05, 1.92E-05, 12.7117, 6.0533, pflx_comp, 1.17
GRB151107851, 58.625, 139.01, 2.96E-05, 1.58E-05, 11.3321, 6.0521, pflx_comp, 1.029
GRB131118958, 44.289, 85.249, 6.75E-05, 3.61E-05, 16.0063, 6.0275, pflx_comp, 1.089
GRB110120666, 9.792, 28.417, 1.79E-05, 8.44E-06, 11.5587, 6.007, pflx_comp, 1.049
GRB100918863, 49.153, 86.017, 8.92E-05, 5.86E-05, 9.4783, 5.9493, pflx_comp, 0.941
GRB091101143, 5.056, 10.688, 7.84E-06, 4.27E-06, 13.9886, 5.9346, pflx_comp, 0.972
GRB140721336, 51.201, 127.746, 5.52E-05, 2.98E-05, 15.8734, 5.9002, pflx_comp, 0.97
GRB090112729, 4.864, 14.08, 9.23E-06, 5.54E-06, 16.0501, 5.8564, pflx_comp, 0.977
GRB090828099, 10.752, 68.417, 2.37E-05, 1.28E-05, 15.3625, 5.7992, pflx_comp, 0.94
GRB090524346, 37.121, 54.337, 1.66E-05, 9.49E-06, 14.0796, 5.7709, pflx_comp, 0.858
GRB100906576, 18.944, 110.594, 2.33E-05, 1.27E-05, 18.1282, 5.7591, pflx_comp, 1.052
GRB100728095, 61.953, 165.378, 1.28E-04, 6.20E-05, 12.1227, 5.7205, pflx_comp, 0.919
GRB130630272, 7.424, 17.152, 1.65E-05, 9.86E-06, 11.054, 5.7092, pflx_comp, 0.991
GRB120727681, 4.125, 10.496, 9.23E-06, 5.29E-06, 16.8166, 5.7028, pflx_comp, 1.131
GRB160227831, 5.12, 7.68, 1.66E-05, 6.84E-06, 13.0363, 5.6875, pflx_comp, 0.901
GRB130628531, 3.072, 21.504, 8.87E-06, 4.81E-06, 17.3281, 5.6574, pflx_comp, 1.118
GRB140306146, 24.576, 51.713, 5.78E-05, 2.09E-05, 14.1414, 5.6176, pflx_comp, 1.139
GRB150222450, 7.424, 65.281, 1.95E-05, 1.07E-05, 18.0689, 5.5969, pflx_comp, 0.988
GRB090813174, 5.888, 7.552, 3.33E-06, 1.81E-06, 19.3017, 5.5908, pflx_comp, 1.112
GRB130725527, 1.472, 6.656, 5.18E-06, 2.77E-06, 13.5814, 5.59, pflx_comp, 1.05
GRB110903009, 20.48, 28.672, 1.52E-05, 5.78E-06, 52.8535, 5.5331, pflx_comp, 1.141
GRB090528516, 31.553, 79.041, 4.35E-05, 2.45E-05, 17.2759, 5.4957, pflx_comp, 0.925
GRB140430716, 4.096, 26.368, 9.18E-06, 5.50E-06, 16.6839, 5.428, pflx_sbpl, 1.119
GRB160225809, 9.984, 64.257, 1.80E-05, 1.08E-05, 13.7754, 5.3943, pflx_comp, 1.089
GRB111012456, 8.448, 20.736, 1.65E-05, 1.01E-05, 15.0081, 5.3718, pflx_band, 0.99
GRB130604033, 8.192, 26.88, 1.75E-05, 9.44E-06, 16.8368, 5.3445, pflx_comp, 1.072
GRB100225580, 2.304, 6.4, 6.40E-06, 3.45E-06, 13.3644, 5.3177, pflx_comp, 1.032
GRB120921877, 1.28, 5.632, 2.48E-06, 1.62E-06, 11.7544, 5.3054, pflx_band, 1.056
GRB081222204, 4.672, 18.88, 1.19E-05, 6.94E-06, 13.7503, 5.3041, pflx_comp, 1.005
GRB120304248, 3.072, 5.376, 1.14E-05, 3.35E-06, 16.7836, 5.3037, pflx_comp, 1.142
GRB110521478, 1.792, 6.141, 3.61E-06, 1.71E-06, 18.298, 5.2684, pflx_comp, 0.984
GRB141229492, 3.328, 13.824, 5.60E-06, 2.72E-06, 11.4485, 5.2452, pflx_comp, 0.988
GRB140606133, 4.352, 22.784, 7.59E-06, 3.75E-06, 14.6958, 5.2379, pflx_comp, 1
GRB130216927, 3.136, 6.592, 5.92E-06, 3.79E-06, 10.2975, 5.2345, pflx_comp, 1.13
GRB130701761, 0.704, 1.6, 4.92E-06, 1.88E-06, 11.8844, 5.2245, pflx_comp, 0.912
GRB110318552, 4.096, 14.464, 8.15E-06, 4.89E-06, 11.9699, 5.2101, pflx_comp, 0.954
GRB110919634, 12.032, 35.073, 2.68E-05, 1.42E-05, 13.0687, 5.1993, pflx_comp, 0.957
GRB120916173, 20.48, 52.993, 1.42E-05, 7.24E-06, 12.8946, 5.0944, pflx_comp, 0.97
GRB091128285, 22.528, 87.81, 4.04E-05, 2.34E-05, 11.8574, 5.0905, pflx_comp, 1.052
GRB110819665, 2.56, 16.384, 3.04E-06, 1.77E-06, 15.9312, 5.0882, pflx_comp, 1.039
GRB100820373, 1.792, 8.96, 2.99E-06, 1.65E-06, 17.8995, 5.0699, pflx_comp, 1.043
GRB150506398, 2.304, 6.784, 3.56E-06, 2.17E-06, 13.4952, 5.0509, pflx_comp, 1.084
GRB120226871, 23.04, 52.993, 5.20E-05, 2.72E-05, 12.4128, 5.0429, pflx_comp, 1.011
GRB111216389, 34.561, 83.778, 4.17E-05, 2.56E-05, 12.6707, 5.0318, pflx_comp, 0.891
GRB100224112, 7.936, 67.329, 1.07E-05, 5.77E-06, 12.4446, 5.0297, pflx_comp, 1.118
GRB160303201, 17.92, 48.129, 1.43E-05, 8.32E-06, 17.4489, 5.0218, pflx_comp, 0.996
GRB150228845, 0.768, 4.125, 6.59E-06, 2.07E-06, 12.2886, 5.0216, pflx_comp, 1.049
GRB120709883, 11.776, 27.328, 1.37E-05, 6.30E-06, 15.3935, 5.0006, pflx_comp, 1.074
GRB150213001, 0.96, 4.096, 2.88E-05, 1.43E-05, 218.021, 49.082, pflx_band, 1.428
GRB140329295, 2.816, 21.504, 6.59E-05, 3.62E-05, 113.236, 47.1588, pflx_band, 1.092
GRB090424592, 3.072, 14.144, 4.63E-05, 2.80E-05, 121.254, 45.9657, pflx_comp, 1.192
GRB090926181, 6.528, 13.76, 1.47E-04, 7.44E-05, 106.69, 43.1006, pflx_band, 1.166
GRB140817293, 3.072, 16.128, 5.03E-06, 3.09E-06, 15.2322, 4.9868, pflx_comp, 0.999
GRB140714268, 12.288, 132.098, 1.85E-05, 1.09E-05, 17.0684, 4.9785, pflx_comp, 0.977
GRB151027166, 108.034, 123.394, 1.41E-05, 7.56E-06, 11.9695, 4.976, pflx_comp, 1.112
GRB081231140, 16.832, 28.736, 1.61E-05, 9.08E-06, 15.0454, 4.9626, pflx_comp, 0.975
GRB081101532, 4.416, 8.256, 1.51E-05, 6.81E-06, 11.301, 4.9595, pflx_comp, 0.955
GRB121118576, 17.92, 33.277, 6.71E-06, 3.91E-06, 23.6247, 4.9574, pflx_comp, 1.127
GRB091030828, 24.832, 98.05, 2.96E-05, 1.40E-05, 10.9202, 4.9564, pflx_comp, 0.957
GRB090530760, 58.753, 127.554, 5.99E-05, 3.14E-05, 11.7788, 4.943, pflx_comp, 1.049
GRB150702998, 14.848, 45.825, 1.17E-05, 5.39E-06, 14.1592, 4.8906, pflx_comp, 1.01
GRB140323433, 64.705, 111.426, 3.24E-05, 1.81E-05, 11.1411, 4.8893, pflx_comp, 0.955
GRB111228657, 46.337, 99.842, 1.81E-05, 7.45E-06, 24.9313, 4.878, pflx_comp, 1.069
GRB130614997, 2.944, 9.28, 6.72E-06, 3.51E-06, 24.0778, 4.8591, pflx_comp, 1.015
GRB080723985, 25.28, 42.816, 3.08E-05, 1.57E-05, 11.3608, 4.8511, pflx_comp, 1.011
GRB140716436, 13.056, 168.253, 1.18E-05, 6.82E-06, 12.9966, 4.8402, pflx_comp, 1.196
GRB140512814, 80.129, 147.97, 2.93E-05, 1.50E-05, 13.7763, 4.8387, pflx_comp, 1.021
GRB090101758, 6.144, 108.802, 1.23E-05, 6.96E-06, 12.4093, 4.8384, pflx_comp, 0.962
GRB131209547, 6.4, 13.568, 1.37E-05, 7.42E-06, 9.0093, 4.8361, pflx_comp, 0.986
GRB140906429, 6.656, 20.736, 8.37E-06, 4.80E-06, 13.4815, 4.8332, pflx_comp, 1.054
GRB080724401, 348.421, 379.397, 1.57E-05, 8.65E-06, 18.9847, 4.756, pflx_comp, 1.023
GRB110213220, 6.4, 34.305, 9.37E-06, 4.72E-06, 19.6273, 4.7519, pflx_comp, 1.034
GRB150507026, 16.128, 63.489, 1.52E-05, 8.52E-06, 10.6279, 4.7356, pflx_comp, 1.021
GRB111127810, 4.352, 19.008, 8.64E-06, 4.31E-06, 21.4899, 4.6928, pflx_comp, 1.027
GRB090720710, 6.144, 10.752, 1.42E-05, 4.82E-06, 29.8278, 4.6889, pflx_comp, 0.904
GRB090425377, 9.344, 75.393, 1.81E-05, 8.04E-06, 17.1539, 4.6358, pflx_comp, 0.922
GRB150430015, 18.176, 111.618, 1.56E-05, 8.05E-06, 11.3794, 4.6341, pflx_comp, 1.323
GRB150821406, 32.001, 103.426, 5.21E-05, 2.79E-05, 12.1391, 4.629, pflx_comp, 1.103
GRB140808038, 2.176, 4.477, 3.21E-06, 2.20E-06, 10.4038, 4.6188, pflx_comp, 1.104
GRB120919052, 12.288, 118.018, 2.07E-05, 1.08E-05, 12.152, 4.6157, pflx_comp, 1.013
GRB121223300, 4.096, 11.005, 7.02E-06, 4.85E-06, 8.2862, 4.6072, pflx_comp, 1.158
GRB130406288, 1.536, 7.936, 2.92E-06, 1.73E-06, 15.9886, 4.5829, pflx_comp, 1.02
GRB150622393, 29.697, 60.673, 2.90E-05, 1.71E-05, 12.0389, 4.5785, pflx_comp, 1.046
GRB131031482, 4.352, 7.424, 4.38E-06, 2.41E-06, 13.37, 4.5748, pflx_comp, 0.911
GRB130701060, 3.2, 20.224, 7.12E-06, 3.77E-06, 11.5167, 4.565, pflx_comp, 0.963
GRB110123804, 8.064, 17.856, 1.90E-05, 1.13E-05, 9.2901, 4.5318, pflx_comp, 1.073
GRB140621827, 5.376, 6.4, 6.06E-06, 2.73E-06, 16.2843, 4.5303, pflx_comp, 0.923
GRB090217206, 9.728, 33.281, 2.75E-05, 1.14E-05, 10.9134, 4.5078, pflx_comp, 1.113
GRB131216081, 3.072, 19.262, 6.78E-06, 3.28E-06, 8.4431, 4.5014, pflx_comp, 1.069
GRB150724782, 11.52, 37.889, 2.80E-05, 1.03E-05, 9.5842, 4.4969, pflx_comp, 1.018
GRB140108721, 79.105, 91.393, 1.97E-05, 9.95E-06, 11.5509, 4.4196, pflx_comp, 1.069
GRB111109873, 3.2, 9.664, 6.69E-06, 4.28E-06, 15.59, 4.4093, pflx_plaw, 1.053
GRB140610548, 9.472, 36.865, 1.84E-05, 1.05E-05, 9.9767, 4.3366, pflx_comp, 1.132
GRB150523396, 23.552, 82.433, 3.31E-05, 1.32E-05, 9.3133, 4.3124, pflx_comp, 1.063
GRB080821332, 1.92, 5.888, 3.59E-06, 2.20E-06, 10.7245, 4.3114, pflx_comp, 0.928
GRB110605183, 24.064, 82.689, 1.93E-05, 1.16E-05, 9.1644, 4.3081, pflx_comp, 0.996
GRB101016243, 1.28, 3.84, 2.44E-06, 1.36E-06, 14.036, 4.2998, pflx_plaw, 0.9
GRB090720276, 1.597, 3.712, 3.22E-06, 2.00E-06, 11.2786, 4.28, pflx_comp, 1.156
GRB150729517, 7.168, 35.585, 1.66E-05, 8.32E-06, 10.3528, 4.244, pflx_comp, 0.919
GRB111015427, 50.177, 92.737, 2.42E-05, 1.32E-05, 10.0677, 4.2399, pflx_comp, 0.923
GRB140901821, 0.112, 0.176, 5.12E-06, 9.83E-07, 37.7338, 4.2247, pflx_comp, 1.024
GRB111221739, 12.288, 27.136, 3.06E-06, 1.10E-06, 20.6815, 4.2229, pflx_comp, 1.058
GRB141202470, 0.704, 1.344, 4.24E-06, 1.42E-06, 10.4235, 4.2078, pflx_comp, 0.905
GRB130216790, 3.072, 12.992, 4.89E-06, 2.56E-06, 19.3947, 4.1789, pflx_comp, 1.108
GRB110529262, 18.432, 45.825, 6.78E-06, 3.69E-06, 16.498, 4.1756, pflx_comp, 1.14
GRB081216531, 0.128, 0.768, 2.99E-06, 9.46E-07, 26.9868, 4.1711, pflx_comp, 1.072
GRB160325291, 8.576, 42.945, 1.86E-05, 1.08E-05, 9.0851, 4.163, pflx_comp, 1.014
GRB140818229, 24.256, 109.25, 2.95E-05, 1.85E-05, 9.637, 4.1427, pflx_comp, 1.023
GRB080807993, 15.808, 19.072, 7.30E-06, 2.75E-06, 15.2385, 4.12, pflx_comp, 1.065
GRB111024722, 28.672, 68.609, 1.58E-05, 8.57E-06, 12.4648, 4.0647, pflx_comp, 1.065
GRB150126868, 27.392, 96.513, 2.52E-05, 1.41E-05, 10.8335, 4.0587, pflx_comp, 1.077
GRB090514726, 0.636, 2.24, 2.25E-06, 1.30E-06, 12.2393, 4.0559, pflx_comp, 0.912
GRB130509078, 7.424, 24.32, 9.01E-06, 4.65E-06, 14.5113, 4.0395, pflx_comp, 0.974
GRB130727698, 5.952, 12.992, 8.16E-06, 4.58E-06, 13.5697, 4.0356, pflx_comp, 0.884
GRB110529034, 0.256, 0.512, 1.47E-06, 7.96E-07, 22.9386, 4.0176, pflx_comp, 1.002
GRB140701833, 2.048, 6.912, 2.61E-06, 1.53E-06, 14.3397, 4.0107, pflx_comp, 0.979
GRB150201574, 4.864, 15.616, 6.31E-05, 3.75E-05, 96.5185, 39.1742, pflx_band, 1.118
GRB150314205, 4.416, 10.688, 8.16E-05, 4.14E-05, 73.7393, 36.4148, pflx_band, 1.361
GRB131231198, 9.728, 31.232, 1.52E-04, 7.96E-05, 82.1189, 36.306, pflx_band, 1.181
GRB110625881, 14.08, 26.881, 6.55E-05, 3.91E-05, 81.8157, 35.8844, pflx_band, 1.077
GRB110301214, 2.304, 5.693, 3.59E-05, 2.19E-05, 119.832, 35.7646, pflx_band, 1.332
GRB120426090, 1.152, 2.88, 2.03E-05, 1.30E-05, 84.6647, 34.9831, pflx_comp, 1.237
GRB140416060, 16.576, 31.744, 8.14E-05, 4.20E-05, 101.474, 34.7958, pflx_comp, 0.965
GRB150902733, 4.608, 13.568, 8.32E-05, 3.89E-05, 77.0159, 34.2001, pflx_band, 1.01
GRB141022087, 4.608, 9.216, 9.00E-05, 3.99E-05, 84.1565, 33.0719, pflx_comp, 1.226
GRB090902462, 9.024, 19.328, 2.22E-04, 9.44E-05, 88.5832, 32.1424, pflx_sbpl, 2.913
GRB140508128, 21.184, 44.288, 6.14E-05, 3.09E-05, 85.6673, 31.4542, pflx_band, 1.074
GRB081215784, 3.392, 5.568, 5.47E-05, 2.32E-05, 122.537, 31.2927, pflx_band, 1.093
GRB150630223, 6.144, 22.784, 1.08E-05, 4.92E-06, 22.336, 3.9972, pflx_plaw, 1.008
GRB130209961, 5.12, 9.79, 6.12E-06, 3.75E-06, 11.6259, 3.9572, pflx_comp, 1.05
GRB120522361, 8.448, 28.16, 9.32E-06, 5.02E-06, 16.3308, 3.9528, pflx_comp, 0.933
GRB091012783, 0.32, 0.704, 2.12E-06, 8.03E-07, 13.9484, 3.8783, pflx_comp, 0.977
GRB100629801, 0.32, 0.832, 1.15E-06, 7.43E-07, 16.5353, 3.8775, pflx_comp, 1.156
GRB100522157, 11.712, 35.326, 3.86E-06, 2.28E-06, 13.4417, 3.8714, pflx_comp, 0.968
GRB150319271, 5.376, 10.496, 8.69E-06, 4.64E-06, 8.0385, 3.8394, pflx_comp, 1.112
GRB150923864, 0.96, 1.792, 1.58E-06, 1.07E-06, 14.2996, 3.835, pflx_comp, 1.051
GRB110710954, 9.856, 22.72, 9.32E-06, 4.87E-06, 16.2167, 3.8324, pflx_comp, 0.995
GRB080715950, 6.144, 7.872, 5.04E-06, 2.54E-06, 13.5845, 3.8314, pflx_comp, 1.065
GRB090510016, 0.256, 0.96, 3.37E-06, 9.01E-07, 22.9939, 3.8238, pflx_comp, 0.884
GRB150913161, 6.4, 20.992, 1.04E-05, 5.69E-06, 7.5448, 3.8119, pflx_comp, 1.105
