GRB,GRB X-ray position,Error,Instrument,redshift,adatok
161109A,10h31m26s +61° 48',16,Fermi,NA,NA
161108A,12h03m08s +24° 52',3,Swift,1.159,9.0826024984
161105A,08h00m39s -44° 47',3,Swift,NA,NA
161104AS,05h11m31s +51° 27',3,Swift,NA,NA
161023A,20h44m08s -47° 40',2.6,INTEGRAL,2.708,17.2055176596
161022A,08h35m52s +54° 22',3,Swift,NA,NA
161020B,04h12m25s -75° 35',204*21,IPN,NA,NA
161020A,10h44m08s -54° 46',2,INTEGRAL,NA,NA
161017A,09h31m04s +43° 08',3,Swift,2.013,12.2463209608
161015A,17h56m36s +30° 11',12.6,Fermi,NA,NA
161014A,22h10m31s +07° 29',3,Swift,2.823,16.1286380808
161011A,16h22m51s +08° 20',3,Swift,NA,NA
161010A,18h20m57s -28° 46',2.7,INTEGRAL,NA,NA
161007A,06h53m34s +23° 17',3,Swift,NA,NA
161004B,07h28m38s -39° 54',3,Swift,NA,NA
161004A,17h32m41s -00° 56',3,Swift,NA,NA
161001A,04h47m39s -57° 17',3,Swift,NA,NA
160927AS,17h05m03s +17° 19',3,Swift,NA,NA
160917A,19h42m41s +46° 24',3,Swift,NA,NA
160912A,20h06m04s +57° 33',3,Swift,NA,NA
160910A,15h17m20s +41° 12',3,Swift,NA,NA
160905A,10h48m57s -50° 48',3,Swift,NA,NA
160829A,13h26m48s -56° 46',8,Fermi,NA,NA
160827A,11h57m11s -29° 10',3,Swift,NA,NA
160826A,12h12m18s -67° 41',3,Swift,NA,NA
160824A,05h20m19s +40° 02',3,Swift,NA,NA
160821BS,18h39m57s +62° 24',3,Swift,0.16,3.8906557574
160821A,11h24m59s +42° 21',3,Swift,NA,NA
160819A,07h36m33s -22° 21',66,Fermi,NA,NA
160816A,19h18m43s -35° 38',8,Fermi,NA,NA
160815A,19h14m11s +84° 19',3,Swift,NA,NA
160814A,09h04m17s -20° 58',60,MAXI,NA,NA
160804A,14h46m33s +10° 00',3,Swift,0.736,7.0924963529
160802A,01h52m07s +71° 22',53*36,IPN,NA,NA
160801A,14h11m03s +13° 30',3,Swift,NA,NA
160726AS,06h35m17s -06° 33',3,Swift,NA,NA
160720A,03h52m37s +73° 54',162*45,Fermi,NA,NA
160716A,12h42m10s -61° 22',3,Swift,NA,NA
160714AS,15h37m51s +63° 50',3,Swift,NA,NA
160712A,20h16m36s -26° 59',3,Swift,NA,NA
160709AS,15h43m59s -28° 11',11,Fermi,NA,NA
160705B,11h12m21s +46° 43',3,Swift,NA,NA
160705A,07h47m00s -14° 59',60,MAXI,NA,NA
160703A,19h09m34s +36° 54',3,Swift,1.5,10.0108487113
160702A,15h23m33s +08° 43',72*22,IPN,NA,NA
160630A,13h12m57s -56° 04',3,Swift,NA,NA
160629A,00h19m17s +76° 59',3.1,INTEGRAL,3.332,18.673863867
160625B,20h33m04s +06° 54',3,Fermi,1.406,10.2738034249
160625A,11h47m45s -65° 07',3,Swift,NA,NA
160624AS,22h00m49s +29° 38',3,Swift,0.483,5.6144613754
160623A,21h00m58s +42° 16',6,Fermi,0.367,5.5091612293
160620AS,16h42m39s +30° 19',87*28,IPN,NA,NA
160612AS,23h13m27s -25° 22',3,Fermi,NA,NA
160611A,10h57m45s -70° 24',3,Swift,NA,NA
160607A,00h54m39s -04° 57',3,Swift,NA,NA
160601AS,15h40m08s +64° 30',3,Swift,NA,NA
160530A,19h18m43s -35° 38',90,COSI,NA,NA
160525B,09h57m46s +51° 11',3,Swift,NA,NA
160525A,06h54m07s -00° 10',3,Swift,NA,NA
160521B,09h52m41s +79° 01',10,Fermi,NA,NA
160521A,08h38m52s +46° 54',3.2,INTEGRAL,NA,NA
160519A,04h44m27s +31° 12',3,Swift,NA,NA
160509A,20h40m24s +76° 00',30,Fermi,1.17,8.6947507085
160506A,17h43m06s -46° 07',3,Swift,NA,NA
160504A,11h20m10s +56° 00',3,Swift,NA,NA
160503A,00h02m10s -01° 56',32,Fermi,NA,NA
160501A,19h05m30s -17° 14',3,Swift,NA,NA
160425A,18h41m15s -54° 22',3,Swift,0.555,4.8263572249
160424A,21h17m55s -60° 24',3,Swift,NA,NA
160422A,02h48m12s -57° 54',3,Fermi,NA,NA
160419A,01h05m42s -27° 21',3,Swift,NA,NA
160417A,08h00m58s +07° 38',3,Swift,NA,NA
160412A,02h12m26s -67° 39',3,Swift,NA,NA
160411AS,23h17m27s -40° 16',3,Swift,NA,NA
160410AS,10h02m43s +03° 27',3,Swift,1.717,11.1759645843
160409A,19h18m49s -05° 23',3,Swift,NA,NA
160408AS,08h10m14s +71° 08',3,Swift,NA,NA
160401A,05h58m57s +26° 41',2,INTEGRAL,NA,NA
160327A,09h46m45s +54° 01',3,Swift,5,28.4818372998
160325A,01h02m23s -72° 42',3,Swift,NA,NA
160321A,06h37m39s +05° 43',3,Swift,NA,NA
160314B,11h10m14s +45° 40',39,Fermi,NA,NA
160314A,07h31m07s +17° 00',3,Swift,0.726,6.3264890201
160313A,12h15m09s +57° 18',3,Swift,NA,NA
160310A,06h35m07s -07° 07',6,Fermi,NA,NA
160303AS,11h14m44s +22° 44',3,Swift,NA,NA
160228A,07h09m17s +26° 57',3,Swift,1.64,10.5368664044
160227A,12h59m09s +78° 38',3,Swift,2.38,15.1767324025
160225A,10h56m58s +53° 39',3,Swift,NA,NA
160223B,06h19m54s +33° 24',3.2,INTEGRAL,NA,NA
160223A,09h50m20s +09° 22',3,Swift,NA,NA
160221A,15h28m19s -28° 27',3.2,INTEGRAL,NA,NA
160220B,17h19m25s -18° 07',3,Swift,NA,NA
160220A,15h47m42s -18° 33',3,Swift,NA,NA
160216A,20h46m49s -71° 33',3,Swift,NA,NA
160206A,08h50m47s -36° 06',21*19,MAXI,NA,NA
160203A,10h47m48s -24° 46',3,Swift,3.52,19.6597745937
160131A,05h12m44s -07° 04',3,Swift,0.972,7.4782022734
160127A,15h03m49s +00° 05',3,Swift,NA,NA
160123A,10h01m09s -33° 47',3,Swift,NA,NA
160121A,07h16m19s -23° 35',3,Swift,1.96,13.034450005
160119A,14h07m34s +20° 28',3,Swift,NA,NA
160117B,08h48m46s -16° 20',3,Swift,0.87,7.4851092169
160117A,01h21m31s -00° 38',3,Swift,NA,NA
160113A,11h34m29s +10° 42',425,Fermi,NA,NA
160107A,19h58m40s +06° 25',13*11,MAXI,NA,NA
160104A,05h07m13s +11° 21',3,Swift,NA,NA
160102A,05h23m21s -21° 02',13,MAXI,NA,NA
160101A,14h38m55s -13° 49',9,MAXI,NA,NA
151231A,04h38m07s -61° 01',123*11.6,IPN,NA,NA
151229AS,21h57m31s -20° 44',3,Swift,NA,NA
151228B,22h57m46s +08° 05',3,Swift,NA,NA
151228AS,14h16m01s -17° 41',3,Swift,NA,NA
151227B,19h21m08s +35° 25',78*10.4,IPN,NA,NA
151225AS,15h11m36s -18° 18',212*15,IPN,NA,NA
151222AS,23h39m46s +34° 06',58*17,IPN,NA,NA
151216A,21h35m39s +24° 46',20*16,MAXI,NA,NA
151215A,06h14m23s +35° 31',3,Swift,2.59,15.9508313576
151212A,04h32m26s -03° 46',31*31,MAXI,NA,NA
151210A,04h20m44s -71° 14',3,Swift,NA,NA
151205C,21h58m54s +77° 42',16*13,MAXI,NA,NA
151205B,02h44m38s -43° 29',3,Swift,NA,NA
151205A,15h17m08s +35° 46',3,Swift,NA,NA
151127AS,01h19m07s -82° 46',3,Swift,NA,NA
151122A,19h58m49s -19° 54',3,Swift,NA,NA
151120A,10h28m58s -32° 31',2.8,INTEGRAL,NA,NA
151118A,03h48m38s +65° 52',3,Swift,NA,NA
151114A,08h03m45s -61° 03',3,Swift,NA,NA
151112A,00h08m11s -61° 42',3,Swift,4.1,23.8427197526
151111A,03h47m19s -44° 10',3,Swift,3.5,20.1298037079
151107B,01h59m00s +44° 30',6*440,Fermi,NA,NA
151107A,14h28m33s -59° 41',3,Swift,NA,NA
151031A,05h32m48s -39° 05',3,Swift,1.167,8.9604186696
151029A,02h34m08s -35° 22',3,Swift,1.423,9.1811565413
151027B,05h04m57s -06° 26',3,Swift,4.063,23.9377175336
151027A,18h09m58s +61° 23',3,Swift,0.81,7.0683416635
151023A,18h04m05s -08° 19',3,Swift,NA,NA
151022A,23h16m51s +55° 49',3,Swift,NA,NA
151021A,22h30m27s -33° 12',3,Swift,2.33,15.1487575773
151006A,09h49m48s +70° 31',3,Swift,NA,NA
151004A,14h14m20s -64° 57',3,Swift,NA,NA
151001B,22h27m23s +64° 40',3,Swift,NA,NA
151001A,15h34m55s +15° 35',3,Swift,NA,NA
150925A,15h10m05s -19° 38',3,Swift,NA,NA
150922A,19h37m31s -05° 29',75*9,IPN,NA,NA
150919A,08h51m50s +44° 04',59*11,IPN,NA,NA
150915A,21h18m55s -34° 51',3,Swift,1.968,12.5616514191
150912A,16h33m44s -20° 59',3,INTEGRAL,NA,NA
150911A,04h29m42s +05° 45',3,Swift,NA,NA
150910A,00h22m42s +33° 30',3,Swift,1.359,9.0037385262
150907B,17h00m53s -63° 49',3,Swift,NA,NA
150907A,14h59m22s -47° 36',4,MAXI,NA,NA
150906B,10h36m57s -25° 36',30*8.6,IPN,NA,NA
150902A,14h19m42s -69° 22',7.6,Fermi,NA,NA
150901A,12h14m21s +25° 02',3,Swift,NA,NA
150831B,18h04m05s -27° 15',3,Swift,NA,NA
150831AS,14h44m05s -25° 39',3,Swift,NA,NA
150824A,10h45m00s -55° 55',60,Fermi,NA,NA
150821A,22h47m37s -57° 52',3,Swift,0.755,6.9150624138
150819B,03h57m33s +39° 42',84*3.4,IPN,NA,NA
150819A,02h49m21s +09° 47',3,Swift,NA,NA
150818A,15h21m47s +68° 21',3,Swift,0.282,5.4085814264
150817A,16h38m34s -12° 04',3,Swift,NA,NA
150811B,12h25m23s -14° 07',342*32,IPN,NA,NA
150811A,19h25m29s -15° 27',3,Swift,NA,NA
150801B,05h31m50s -05° 23',3,Swift,NA,NA
150801A,17h03m42s -09° 26',60,MAXI,NA,NA
150728AS,19h29m09s +33° 54',3,Swift,NA,NA
150727A,13h35m58s -18° 21',3,Swift,0.313,5.1763445658
150725A,14h41m41s -02° 25',7,MAXI,NA,NA
150724B,23h27m41s +03° 40',18,Fermi,NA,NA
150724A,06h30m09s -19° 09',3,Swift,NA,NA
150722A,14h33m05s -35° 12',3,Swift,NA,NA
150721A,22h16m24s +07° 48',90,Fermi,NA,NA
150720A,07h58m20s -28° 18',3,Swift,NA,NA
150716A,18h33m52s -13° 01',3,Swift,NA,NA
150711A,14h46m31s -35° 28',3,Swift,NA,NA
150710B,05h32m47s -46° 58',3,Swift,NA,NA
150710AS,12h57m59s +14° 18',3,Swift,NA,NA
150702A,03h31m07s -57° 00',22,Fermi,NA,NA
150627A,07h49m58s -51° 34',3,Fermi,NA,NA
150626A,07h25m22s -37° 46',3,Swift,NA,NA
150622A,16h46m57s -52° 56',60,MAXI,NA,NA
150616A,20h58m49s -53° 24',3,Swift,NA,NA
150615A,07h10m17s -22° 28',3,Swift,NA,NA
150608A,00h54m36s -00° 08',60,MAXI,NA,NA
150607A,09h20m06s +68° 27',3,Swift,NA,NA
150530B,00h29m59s +44° 17',3,Swift,NA,NA
150530A,21h50m06s +57° 34',3,Swift,NA,NA
150527A,19h15m50s +04° 12',3,Swift,NA,NA
150523A,07h41m26s -45° 24',6,Fermi,NA,NA
150518A,15h36m50s +16° 16',60,MAXI,0.256,5.120906293
150514A,04h59m24s -60° 55',7,Fermi,0.807,7.4385681898
150513A,03h16m14s -22° 55',3,Swift,NA,NA
150510A,01h04m38s +04° 47',22,Fermi,NA,NA
150430A,21h45m58s -27° 56',3,Swift,NA,NA
150428C,04h00m59s +67° 49',60,MAXI,NA,NA
150428B,19h30m37s +04° 07',3,Swift,NA,NA
150428A,12h34m10s +06° 34',3,Swift,NA,NA
150424AS,10h09m15s -26° 39',3,Swift,0.3,5.1751737463
150423AS,14h46m24s +12° 17',3,Swift,1.394,10.384841621
150418A,10h42m11s -04° 56',60,MAXI,NA,NA
150413A,12h41m32s +71° 49',3,Swift,3.139,19.4650771574
150407A,14h26m25s +38° 32',3,Swift,NA,NA
150403A,20h46m01s -62° 42',3,Swift,2.06,13.2184289851
150402A,11h34m38s +41° 00',3,Swift,NA,NA
150330A,22h04m07s +52° 18',8.6*277,IPN,NA,NA
150323C,12h50m27s +50° 12',3,Swift,NA,NA
150323B,17h21m47s +38° 19',3,Swift,NA,NA
150323A,08h32m46s +45° 26',3,Swift,0.593,5.9486148033
150318A,21h39m53s -61° 29',3,Swift,NA,NA
150317A,09h15m45s +55° 27',3,Swift,NA,NA
150314A,08h26m38s +63° 50',3,Swift,1.758,12.2158129107
150313A,16h49m25s -10° 58',17*147,MAXI,NA,NA
150311A,15h40m23s -15° 49',17,MAXI,NA,NA
150309A,18h27m57s +86° 26',3,Swift,NA,NA
150302A,11h42m02s +36° 50',3,Swift,NA,NA
150301C,00h45m20s +41° 51',3,Swift,NA,NA
150301B,05h56m38s -57° 59',3,Swift,1.5169,10.2968423883
150301AS,16h17m09s -48° 42',3,Swift,NA,NA
150222B,10h23m35s -41° 10',24,MAXI,NA,NA
150222A,13h15m06s -12° 08',3,Swift,NA,NA
150219A,18h05m04s -41° 36',3.3,INTEGRAL,NA,NA
150213B,16h53m42s +34° 11',3,Swift,NA,NA
150212A,19h02m05s +47° 24',3,Swift,NA,NA
150211A,16h59m25s +55° 23',3,Swift,NA,NA
150210A,07h28m36s +13° 16',20,Fermi,NA,NA
150206A,00h40m21s -63° 11',3,Swift,2.087,13.492788405
150204A,10h40m58s -64° 03',1.5,Swift,NA,NA
150203A,06h33m39s +06° 58',3,Swift,NA,NA
150202B,05h46m24s +59° 06',3,Fermi,NA,NA
150202A,02h36m57s -33° 09',3,Swift,NA,NA
150201A,00h47m20s -37° 37',3,Swift,NA,NA
150127B,09h20m44s -03° 12',102*43,Fermi,NA,NA
150127A,19h47m49s -09° 25',414*11,Fermi,NA,NA
150126A,23h22m00s -12° 22',34*28,MAXI,NA,NA
150123A,07h26m14s -09° 41',8,MAXI,NA,NA
150120B,02h37m11s +08° 05',3,Swift,3.5,21.3999930873
150120AS,00h41m14s +33° 59',3,Swift,NA,NA
150118C,10h40m18s -27° 25',60*12,IPN,NA,NA
150118B,16h00m58s -35° 45',30,Fermi,NA,NA
150110C,04h34m18s -16° 52',11*10,MAXI,NA,NA
150110B,19h17m26s +32° 31',3,Swift,NA,NA
150110A,08h46m33s -48° 53',140*100,MAXI,NA,NA
150103A,08h46m33s -48° 53',3,Swift,NA,NA
150101BS,12h32m10s -10° 57',3,Swift,0.134,3.7222136586
150101AS,20h50m31s +36° 44',3,Swift,NA,NA
141229A,19h18m43s -35° 38',66,MAXI,NA,NA
141225A,09h15m00s +33° 48',3,Swift,0.915,8.2206967233
141222A,11h52m10s -57° 21',6,Fermi,NA,NA
141221A,13h13m05s +08° 13',3,Swift,1.452,9.8999916108
141220A,13h00m12s +32° 09',3,Swift,1.3195,8.8008851393
141215A,11h56m13s -52° 45',66*10,IPN,NA,NA
141212B,16h43m28s +31° 45',3,Swift,NA,NA
141212AS,02h36m39s +18° 09',3,Swift,0.596,6.8110610323
141207A,10h39m58s +03° 55',13,Fermi,NA,NA
141205AS,06h11m31s +37° 52',3,Swift,NA,NA
141202A,09h32m17s +54° 10',192*10,IPN,NA,NA
141130A,14h51m15s +47° 18',3,Swift,NA,NA
141125AS,08h31m38s -29° 32',159*7,IPN,NA,NA
141121A,08h10m40s +22° 14',3,Swift,1.47,9.4317087306
141118A,10h27m30s +19° 05',300*10,IPN,NA,NA
141109B,14h49m27s +73° 07',3,Swift,NA,NA
141109A,09h38m02s -00° 36',3,Swift,2.993,18.5714392381
141104A,18h37m57s -12° 42',51*10,IPN,NA,NA
141102A,13h54m27s -47° 06',4,Swift,NA,NA
141031B,23h47m44s +41° 22',3,Swift,NA,NA
141031A,08h34m24s -59° 08',3,Swift,NA,NA
141029B,07h00m48s +25° 06',60,Fermi,NA,NA
141028A,21h30m48s -00° 17',24,Fermi,2.33,14.4945728406
141026A,02h56m19s +26° 58',3,Swift,3.35,20.3218972843
141022A,16h07m36s -72° 08',3,Swift,NA,NA
141020A,15h00m02s +55° 20',3,Swift,NA,NA
141017A,06h14m31s -58° 33',3,Swift,NA,NA
141015A,05h50m02s +18° 19',3,Swift,NA,NA
141011A,17h11m45s -09° 41',42*6,IPN,NA,NA
141005A,19h24m26s +36° 04',3,Swift,NA,NA
141004A,05h06m56s +12° 49',3,Swift,0.573,5.6649063665
140930BS,00h25m25s +24° 16',3,Swift,NA,NA
140930A,22h59m30s +52° 26',24,MAXI,NA,NA
140928A,02h55m14s -56° 05',10,Fermi,NA,NA
140927A,19h27m23s -65° 23',3,Swift,NA,NA
140919A,14h46m13s -32° 09',3,Swift,NA,NA
140916A,02h41m37s -39° 43',3,Swift,NA,NA
140909A,12h54m33s +63° 30',3,Swift,NA,NA
140907A,03h12m35s +46° 36',3,Swift,1.21,8.2167828395
140906CS,20h59m51s +01° 56',11*60,IPN,NA,NA
140903AS,15h52m09s +27° 35',3,Swift,0.351,5.5884084149
140901B,07h28m44s -29° 13',3,Swift,NA,NA
140901A,01h03m16s -32° 45',99*12,IPN,NA,NA
140828A,09h28m03s +14° 35',3,Swift,NA,NA
140825A,05h54m51s -11° 50',27*9,IPN,NA,NA
140824A,13h46m35s +33° 18',3,Swift,NA,NA
140818B,18h04m35s +01° 22',3,Swift,NA,NA
140818A,13h18m03s +06° 48',60,MAXI,NA,NA
140817A,08h29m01s +58° 11',3,Swift,NA,NA
140815A,05h47m35s -08° 40',2.5,INTEGRAL,NA,NA
140814A,12h10m03s +49° 21',20,MAXI,NA,NA
140810A,07h56m10s +27° 33',7,Fermi,NA,NA
140809A,11h15m14s +71° 01',360,Fermi,NA,NA
140808A,14h26m05s +48° 36',220,Fermi,3.29,19.9611465334
140801A,03h01m00s -30° 53',240,Fermi,1.32,10.4885560564
140730A,03h45m43s -66° 32',3,Swift,NA,NA
140729A,12h55m48s +15° 21',20,Fermi,NA,NA
140723A,14h02m31s -03° 44',21,Fermi,NA,NA
140719B,02h38m57s -02° 23',3,Swift,NA,NA
140719A,11h26m22s -50° 08',3,Swift,NA,NA
140716A,07h12m32s -60° 09',1.5,Swift,NA,NA
140713A,18h44m27s +59° 37',3,Swift,NA,NA
140710B,13h38m40s -58° 33',3,INTEGRAL,NA,NA
140710A,02h44m21s +35° 30',3,Swift,0.558,5.8119441735
140709B,09h44m17s +63° 30',3,Swift,NA,NA
140709A,20h18m33s +51° 13',3,Swift,NA,NA
140706A,03h17m13s -38° 04',3,Swift,NA,NA
140703A,00h51m58s +45° 06',3,Swift,3.14,19.4779211177
140629A,16h35m56s +41° 53',3,Swift,2.275,14.6024857558
140628A,02h42m39s -00° 22',3,Swift,NA,NA
140626A,05h09m24s -82° 38',3,Swift,NA,NA
140623A,13h13m00s +75° 48',336,Fermi,1.92,12.7448709278
140622AS,21h08m37s -14° 26',3,Swift,0.959,6.9429404446
140621A,04h53m07s +14° 39',43*17,IPN,NA,NA
140620A,18h47m29s +49° 44',120,Fermi,2.04,13.7425997027
140619C,15h32m04s -25° 36',138*26,IPN,NA,NA
140619BS,08h50m43s -09° 40',4,Fermi,NA,NA
140619A,01h48m22s -39° 16',3,Swift,NA,NA
140614B,21h30m30s +14° 55',3,Swift,NA,NA
140614A,15h24m56s -79° 06',3,Swift,4.233,24.6482567554
140611AS,23h19m43s -40° 05',84*16,IPN,NA,NA
140610A,19h05m02s +03° 54',3,Swift,NA,NA
140607A,05h45m31s +18° 55',3,Swift,NA,NA
140606B,21h51m00s +33° 41',180,Fermi,0.384,5.3230061572
140606AS,13h27m14s +37° 35',3,Swift,NA,NA
140604AS,17h32m41s -40° 24',76*31,IPN,NA,NA
140529A,15h15m16s -41° 03',3,Swift,NA,NA
140528A,18h42m55s -58° 45',57*24,IPN,NA,NA
140523A,08h53m12s +24° 57',24,Fermi,NA,NA
140521A,21h20m03s +67° 36',3,Swift,NA,NA
140518A,15h08m55s +42° 24',3,Swift,4.707,26.6624496469
140516AS,16h51m57s +39° 55',3,Swift,NA,NA
140515B,19h17m52s -11° 00',60,MAXI,NA,NA
140515A,12h24m09s +15° 05',3,Swift,6.32,35.098789684
140512A,19h17m29s -15° 06',3,Swift,0.725,6.3047030287
140509B,20h52m29s +21° 09',60,MAXI,NA,NA
140509A,03h06m26s -62° 39',3,Swift,2.4,14.4884147282
140508A,17h02m31s +46° 45',90*12,Fermi,1.027,9.0521600232
140506A,18h27m10s -55° 34',3,Swift,0.889,6.4616691409
140502B,13h18m43s -35° 38',3,Swift,NA,NA
140502A,21h16m37s +49° 01',3,Swift,NA,NA
140430A,06h51m43s +23° 01',3,Swift,1.6,10.3570947634
140428A,12h57m22s +28° 21',3,Swift,4.7,26.8143474898
140423A,13h09m10s +49° 49',3,Swift,3.26,18.9380860655
140419A,08h28m00s +46° 13',3,Swift,3.956,23.4437675021
140416A,02h21m36s +43° 54',1548*10,IPN,NA,NA
140414AS,13h01m14s +56° 54',3,Swift,NA,NA
140413A,04h21m48s -51° 12',3,Swift,NA,NA
140412A,09h40m12s -65° 49',3,Swift,NA,NA
140408A,19h22m44s -12° 35',3,Swift,NA,NA
140402AS,13h49m53s +05° 52',12,Fermi,NA,NA
140331A,08h59m23s +02° 42',3,Swift,NA,NA
140330A,21h52m16s -57° 45',118*17,IPN,NA,NA
140329A,09h44m59s -32° 06',53*12,IPN,NA,NA
140323A,23h47m33s -79° 55',3,Swift,NA,NA
140320D,05h51m34s +85° 26',208*12,IPN,NA,NA
140320C,08h57m32s +71° 12',3.2,INTEGRAL,NA,NA
140320B,09h42m16s +60° 15',3.2,INTEGRAL,NA,NA
140320AS,18h46m36s -02° 42',3,Swift,NA,NA
140318A,12h16m13s +20° 12',3,Swift,1.02,7.7945526173
140311B,16h49m10s +52° 45',3,Swift,NA,NA
140311A,13h57m12s +00° 37',3,Swift,4.954,26.912214138
140308A,23h50m15s -33° 21',56*11,IPN,NA,NA
140306A,01h51m46s +48° 59',59*20,IPN,NA,NA
140305A,22h58m08s +15° 26',3,Swift,NA,NA
140304A,02h02m40s +33° 29',3,Swift,5.3,29.3180070645
140302A,16h55m22s -12° 52',3,Swift,NA,NA
140301A,04h38m11s -34° 17',3,Swift,1.416,10.5262607637
140226A,14h45m58s +15° 00',0.1,iPTF,1.98,12.4899288509
140221A,07h09m47s -17° 20',24,MAXI,NA,NA
140219A,10h25m46s +07° 28',334*22,IPN,NA,NA
140215A,06h56m33s +41° 47',3,Swift,NA,NA
140213A,07h00m52s -73° 08',3,Swift,1.2076,10.006491846
140211A,08h16m55s +20° 15',3,Swift,NA,NA
140209A,05h25m20s +32° 29',3,Swift,NA,NA
140206A,09h41m24s +66° 45',3,Swift,2.73,16.6183310134
140129B,21h47m03s +26° 12',3,Swift,NA,NA
140129A,02h31m29s -01° 35',3,Swift,NA,NA
140118A,22h04m01s -17° 57',3,Swift,NA,NA
140114A,12h33m56s +12° 35',3,Swift,3,18.3124910783
140110A,01h55m36s -36° 16',30,Fermi,NA,NA
140108A,21h40m43s +58° 46',3,Swift,NA,NA
140104B,14h35m14s -08° 54',13,Fermi,NA,NA
140103A,15h28m31s +37° 45',3,Swift,NA,NA
140102A,14h07m37s +01° 20',3,Swift,NA,NA
131231A,05h40m57s -04° 26',9,Fermi,0.642,6.8417210447
131229A,05h40m57s -04° 26',3,Swift,NA,NA
131227A,04h29m31s +28° 53',3,Swift,5.3,28.9903792994
131226A,20h05m14s -64° 58',3,Swift,NA,NA
131225A,06h20m09s +05° 19',60,MAXI,NA,NA
131224A,19h47m20s +31° 40',2,INTEGRAL,NA,NA
131218A,07h35m12s -64° 43',2.8,INTEGRAL,NA,NA
131216A,06h18m42s -41° 38',12*570,Fermi,NA,NA
131215A,17h16m07s -07° 35',60,MAXI,NA,NA
131209A,09h06m00s -33° 12',54,Fermi,NA,NA
131205A,08h46m26s -60° 10',3,Swift,NA,NA
131202A,22h56m13s -21° 39',3,Swift,NA,NA
131128A,23h41m18s +31° 17',3,Swift,NA,NA
131127A,22h11m00s +36° 35',3,Swift,NA,NA
131122A,10h10m13s +57° 44',1.6,INTEGRAL,NA,NA
131120A,18h35m41s -12° 00',3,Swift,NA,NA
131118A,23h19m27s -66° 50',60,Fermi,NA,NA
131117A,22h09m21s -31° 43',3,Swift,4.042,24.0048910546
131108A,10h25m53s +09° 54',30,Fermi,2.4,14.4824398125
131105A,04h44m03s -62° 59',3,Swift,1.686,11.1632738418
131103A,23h15m49s -44° 40',3,Swift,0.599,6.932435528
131031A,01h58m28s -01° 36',3,Swift,NA,NA
131030A,23h00m19s -05° 23',3,Swift,1.295,9.1909704117
131029A,13h23m08s +48° 18',16,Fermi,NA,NA
131028A,04h04m54s +71° 36',72*348,Fermi,NA,NA
131026A,01h02m11s +32° 29',3,Swift,NA,NA
131024B,09h37m37s +44° 14',3,Swift,NA,NA
131024A,19h21m51s -64° 36',3,Swift,NA,NA
131018B,20h18m06s +23° 04',8,Fermi,NA,NA
131018A,06h33m51s -19° 53',3,Swift,NA,NA
131014A,06h41m12s -19° 06',55,Fermi,NA,NA
131011A,01h27m41s +09° 33',315,Fermi,1.874,12.4808888722
131004A,19h44m36s -02° 58',3,Swift,0.717,5.9457440679
131002B,05h00m15s -75° 44',3,Swift,NA,NA
131002A,16h53m06s +82° 03',3,Swift,NA,NA
131001A,00h33m12s +25° 33',3,Swift,NA,NA
