Helység megnevezése,KSH kódja,jogállása,Megye megnevezése,Járás kódja,Járás neve,Járás székhelye,Közös önkormányzati hivatal kódja,Közös önkormányzati hivatal székhelye,Terület  (hektár),Lakó-népesség,Lakások száma
Balatonfenyves,20729,község,Somogy,1420.0,Fonyódi,Fonyód,1,–,5193,1803,1152
Balatonfőkajár,29461,község,Veszprém,1840.0,Balatonalmádi,Balatonalmádi,2,Helyben – Locally,2192,1291,533
Balatonföldvár,7117,város,Somogy,1460.0,Siófoki,Siófok,2,Helyben – Locally,1532,2150,1175
Balatonfüred,21175,város,Veszprém,1851.0,Balatonfüredi,Balatonfüred,2,Helyben – Locally,4645,13082,6179
Balatonfűzfő,2219,város,Veszprém,1840.0,Balatonalmádi,Balatonalmádi,2,Helyben – Locally,925,4084,2015
Balatongyörök,17002,község,Zala,1930.0,Keszthelyi,Keszthely,6,Vonyarcvashegy,3759,1020,537
Balatonhenye,3638,község,Veszprém,1890.0,Tapolcai,Tapolca,6,Kővágóörs,1173,130,62
Balatonkenese,5148,város,Veszprém,1840.0,Balatonalmádi,Balatonalmádi,1,–,4418,2554,1186
Balatonkeresztúr,7375,község,Somogy,1440.0,Marcali,Marcali,2,Helyben – Locally,2106,1471,740
Balatonlelle,33862,város,Somogy,1420.0,Fonyódi,Fonyód,1,–,4323,5235,2793
Balatonmagyaród,26462,község,Zala,1960.0,Nagykanizsai,Nagykanizsa,6,Zalakomár,3153,407,259
Balatonmáriafürdő,14562,község,Somogy,1440.0,Marcali,Marcali,6,Balatonkeresztúr,2677,694,362
Balatonőszöd,11916,község,Somogy,1460.0,Siófoki,Siófok,6,Balatonszemes,1508,479,411
Balatonrendes,33844,község,Veszprém,1890.0,Tapolcai,Tapolca,5,Kővágóörs,676,124,85
Balatonszabadi,16601,község,Somogy,1460.0,Siófoki,Siófok,1,–,4134,2951,1186
Balatonszárszó,24907,nagyközség,Somogy,1460.0,Siófoki,Siófok,2,Helyben – Locally,3013,1961,941
Balatonszemes,22822,község,Somogy,1460.0,Siófoki,Siófok,2,Helyben – Locally,3602,1743,983
Balatonszentgyörgy,21324,község,Somogy,1440.0,Marcali,Marcali,2,Helyben – Locally,2368,1556,729
Balatonszepezd,17154,község,Veszprém,1850.0,Balatonfüredi,Balatonfüred,6,Zánka,2506,377,210
Balatonszőlős,28501,község,Veszprém,1850.0,Balatonfüredi,Balatonfüred,6,Balatonfüred,1281,634,221
Balatonudvari,15565,község,Veszprém,1850.0,Balatonfüredi,Balatonfüred,6,Tihany,1880,301,174
Balatonújlak,16470,község,Somogy,1440.0,Marcali,Marcali,6,Kéthely,1081,458,263
Balatonvilágos,3559,község,Somogy,1460.0,Siófoki,Siófok,6,Siófok,2921,1158,612
Balinka,31103,község,Fejér,820.0,Móri,Mór,5,Bakonycsernye,1862,902,377
Balkány,26958,város,Szabolcs-Szatmár-Bereg,1550.0,Nagykállói,Nagykálló,1,–,9000,6413,2460
Ballószög,13408,község,Bács-Kiskun,380.0,Kecskeméti,Kecskemét,1,–,3500,3504,1164
Balmazújváros,2918,város,Hajdú-Bihar,931.0,Balmazújvárosi,Balmazújváros,2,Helyben – Locally,20544,17421,6803
Balogunyom,5102,község,Vas,1810.0,Szombathelyi,Szombathely,2,Helyben – Locally,1212,1120,419
Balotaszállás,25937,község,Bács-Kiskun,410.0,Kiskunhalasi,Kiskunhalas,2,Helyben – Locally,10494,1492,729
Balsa,15963,község,Szabolcs-Szatmár-Bereg,1510.0,Ibrányi,Ibrány,6,Tiszabercel,2252,842,417
Bálványos,24457,község,Somogy,1460.0,Siófoki,Siófok,5,Balatonföldvár,2369,539,264
Bana,31422,község,Komárom-Esztergom,1120.0,Komáromi,Komárom,5,Bábolna,2511,1633,571
Bánd,14173,község,Veszprém,1910.0,Veszprémi,Veszprém,6,Márkó,984,660,245
Bánfa,7603,község,Baranya,330.0,Szigetvári,Szigetvár,5,Dencsháza,1206,161,81
Bánhorváti,25159,község,Borsod-Abaúj-Zemplén,580.0,Kazincbarcikai,Kazincbarcika,2,Helyben – Locally,2848,1364,579
Bánk,24341,község,Nógrád,1190.0,Rétsági,Rétság,6,Borsosberény,990,652,304
Bánokszentgyörgy,8439,község,Zala,1950.0,Letenyei,Letenye,2,Helyben – Locally,3254,618,290
Bánréve,21953,község,Borsod-Abaúj-Zemplén,630.0,Putnoki,Putnok,5,Serényfalva,662,1310,543
Bár,24378,község,Baranya,270.0,Mohácsi,Mohács,5,Dunaszekcső,900,530,237
Barabás,26480,község,Szabolcs-Szatmár-Bereg,1590.0,Vásárosnaményi,Vásárosnamény,6,Tiszakerecseny,3819,1039,382
Baracs,7047,község,Fejér,780.0,Dunaújvárosi,Dunaújváros,2,Helyben – Locally,5518,3383,1378
Baracska,8581,község,Fejér,810.0,Martonvásári,Martonvásár,1,–,3968,2679,1056
Báránd,26693,község,Hajdú-Bihar,1020.0,Püspökladányi,Püspökladány,2,Helyben – Locally,4257,2549,1148
Baranyahídvég,20464,község,Baranya,300.0,Sellyei,Sellye,6,Baksa,849,176,73
Baranyajenő,24749,község,Baranya,250.0,Hegyháti,Sásd,5,Mindszentgodisa,1555,417,158
Baranyaszentgyörgy,5485,község,Baranya,250.0,Hegyháti,Sásd,6,Sásd,727,149,76
Barbacs,6196,község,Győr-Moson-Sopron,860.0,Csornai,Csorna,6,Kóny,1365,752,314
Barcs,32799,város,Somogy,1401.0,Barcsi,Barcs,1,–,12290,10698,4536
Bárdudvarnok,3735,község,Somogy,1430.0,Kaposvári,Kaposvár,2,Helyben – Locally,4856,1110,511
Barlahida,27447,község,Zala,1940.0,Lenti,Lenti,6,Csömödér,610,108,86
Bárna,20048,község,Nógrád,1200.0,Salgótarjáni,Salgótarján,5,Mátraszele,1539,1032,457
Barnag,15778,község,Veszprém,1910.0,Veszprémi,Veszprém,6,Tótvázsony,1201,124,73
Bársonyos,8624,község,Komárom-Esztergom,1110.0,Kisbéri,Kisbér,6,Réde,1687,752,298
Basal,15495,község,Baranya,330.0,Szigetvári,Szigetvár,6,Nagypeterd,404,152,78
Baskó,8846,község,Borsod-Abaúj-Zemplén,570.0,Gönci,Gönc,6,Abaújszántó,2964,170,91
Báta,11712,község,Tolna,1730.0,Szekszárdi,Szekszárd,2,Helyben – Locally,6616,1650,768
Bátaapáti,28909,község,Tolna,1700.0,Bonyhádi,Bonyhád,2,Helyben – Locally,2044,420,141
Bátaszék,8864,város,Tolna,1730.0,Szekszárdi,Szekszárd,2,Helyben – Locally,6368,6118,2523
Baté,32337,község,Somogy,1430.0,Kaposvári,Kaposvár,2,Helyben – Locally,1028,802,298
Bátmonostor,3656,község,Bács-Kiskun,350.0,Bajai,Baja,5,Vaskút,3795,1502,698
Bátonyterenye,33534,város,Nógrád,1171.0,Bátonyterenyei,Bátonyterenye,1,–,7892,12221,5709
Bátor,24022,község,Heves,1040.0,Egri,Eger,5,Egerbakta,2732,346,194
Bátorliget,2990,község,Szabolcs-Szatmár-Bereg,1560.0,Nyírbátori,Nyírbátor,6,Nyírcsászári,3330,719,334
Battonya,18102,város,Békés,490.0,Mezőkovácsházai,Mezőkovácsháza,1,–,14571,5835,3011
Bátya,11961,község,Bács-Kiskun,370.0,Kalocsai,Kalocsa,1,–,3386,1997,939
Batyk,24864,község,Zala,1980.0,Zalaszentgróti,Zalaszentgrót,6,Türje,808,370,190
Bázakerettye,18698,község,Zala,1950.0,Letenyei,Letenye,2,Helyben – Locally,803,786,385
Bazsi,7427,község,Veszprém,1880.0,Sümegi,Sümeg,6,Gógánfa,910,389,180
Béb,22901,község,Veszprém,1870.0,Pápai,Pápa,6,Ugod,704,250,100
Becsehely,23144,község,Zala,1950.0,Letenyei,Letenye,2,Helyben – Locally,3608,2025,751
Becske,12016,község,Nógrád,1160.0,Balassagyarmati,Balassagyarmat,5,Bercel,1566,535,292
Becskeháza,27049,község,Borsod-Abaúj-Zemplén,550.0,Edelényi,Edelény,6,Bódvaszilas,500,27,33
Becsvölgye,18360,község,Zala,1970.0,Zalaegerszegi,Zalaegerszeg,6,Teskánd,2140,778,348
Bedegkér,20710,község,Somogy,1470.0,Tabi,Tab,6,Kapoly,2600,394,198
Bedő,33446,község,Hajdú-Bihar,940.0,Berettyóújfalui,Berettyóújfalu,5,Berekböszörmény,1020,296,141
Bejcgyertyános,10384,község,Vas,1790.0,Sárvári,Sárvár,6,Nyőgér,3143,441,265
Békás,27058,község,Veszprém,1870.0,Pápai,Pápa,6,Nemesgörzsöny,652,195,95
Bekecs,6929,község,Borsod-Abaúj-Zemplén,660.0,Szerencsi,Szerencs,2,Helyben – Locally,2572,2443,956
Békés,9760,város,Békés,451.0,Békési,Békés,1,–,12723,19243,8381
